date,deaths,species,state,city
2022-03-10,1,Horse,Maryland,Potomac
2022-12-16,11,Pigs,Michigan,Niles
2022-10-17,6,"Multiple species: pigs, goats and other unspecified animals",Michigan,Reading
2022-06-09,3,Animals (species not specified),Michigan,Holland Township
2022-05-08,4,Animals (species not specified),Michigan,Sanborn Township
2022-04-25,34,Multiple species: 30 pigs and 4 sheep,Michigan,Quincy
2022-02-15,3,Goats,Michigan,Covert Township
2022-01-25,2,Goats,Michigan,Mussey Township
2022-01-05,5,"Multiple species: a kangaroo, ferretts and rabbits",Michigan,Emmett Township
2022-09-29,100,Pigs,Minnesota,East Chain
2022-09-29,"30,000",Turkeys,Minnesota,Beaver Falls Township
2022-07-15,51,Multiple species: pigs and chickens,Minnesota,Little Falls
2022-05-13,"1,004","Multiple species: 1,000 goats and 4 puppies",Minnesota,Henning
2022-05-29,"200,000",Chickens,Minnesota,Howard Lake
2022-04-23,17,Sheep,Minnesota,Adrian
2022-04-05,20,Chickens,Minnesota,Albert Lea
2022-03-24,"2,500",Pigs,Minnesota,Eyota Township
2022-03-16,70,Sheep,Minnesota,Thomson Township
2022-02-24,19,"Multiple species: 4 calves, 9 pigs and 6 chickens",Minnesota,Kalmar Township
2022-01-21,4,Animals (species not specified),Minnesota,Nowthen
2022-05-01,"2,000",Chickens,Mississippi,Laurel
2022-11-10,6,Multiple species: 5 horses and 1 calf,Missouri,Fenton
2022-11-12,100,Chickens,Missouri,Knob Noster
2022-02-28,61,Goats,Missouri,Greene County
2022-02-12,3,Sheep,Missouri,Galt
2022-02-03,11,Horses,Nebraska,Bennington
2022-04-25,12,Chicks,New Hampshire,New Ipswich
2022-12-29,3,Horses,New York,De
2022-12-08,6,"Muliple species: ducks, geese and chickens",New York,Mendon
2022-12-03,3,Animals (species not specified),New York,Otisco
2022-10-22,1,Cows,New York,Gainesville
2022-08-19,3,Cows,New York,Westville
2022-07-15,1,Calf,New York,North Pharsalia
2022-07-12,5,Dogs,New York,Otisco
2022-05-31,20,Animals (species not specified),New York,Gouverneur
2022-03-08,5,Pigs,New York,Boonville
2022-02-25,1,Calf,New York,Bath
2022-02-20,2,Cows,New York,Dekalb
2022-02-03,14,Puppies,New York,Fabius
2022-01-27,40,Cows,New York,Morristown
2022-01-12,100,Cows,New York,Burke
2022-01-05,3,Multiple species: 2 peacocks and 1 goat,New York,Ancram
2022-01-13,3,Chickens,North Carolina,Ashland County
2022-12-28,40,Multiple species: 35 cattle and 5 dogs,Ohio,Lima
2022-12-19,5,Animals (species not specified),Ohio,Perry Township
2022-07-15,65,Calves,Ohio,West Township
2022-07-01,14,"Multiple species: 4 horses, a goat, a dog, several cats, chickens and turkeys",Ohio,New Russia Township
2022-06-14,1,Horse,Ohio,Minerva
2022-03-03,180,Pigs,Ohio,Chesterfield Township
2022-03-03,"2,000",Pigs,Ohio,Darke County
2022-12-13,"250,000",Chickens,Pennsylvania,Lebanon
2022-10-17,1,Horse,Pennsylvania,Hepburn Township
2022-08-31,52,Multiple species: 48 cows and 4 horses,Pennsylvania,Earl Township
2022-06-21,21,Multiple species: 20 goats and 1 calf,Pennsylvania,Honey Brook Township
2022-05-28,20,Chickens,Pennsylvania,Bethel Township
2022-04-25,18,"Multiple species: 8 cows, 6 goats and 4 horses",Pennsylvania,Adams Township
2022-04-13,31,Chickens,Pennsylvania,Du
2022-03-18,15,Pigs,Pennsylvania,Mount Pleasant Township
2022-02-18,2,Pigs,Pennsylvania,West Carroll Township
2022-02-18,49,"Multiple species: 40 chickens, 5 turkeys, 1 pig, 2 ducks and 1 rabbit",Pennsylvania,French Creek Township
2022-02-12,6,"Multiple species: cows, pigs, chickens",Pennsylvania,Centerville
2022-02-01,90,Cows,Pennsylvania,Bedford County
2022-04-16,106,Multiple species: 6 cows and 100 ducks and chickens,Rhode Island,Warren
2022-10-21,"7,000",Chickens,South Carolina,Lexington
2022-08-04,27,"Multiple species: 5 goats, 12 chickens and 10 cats",South Dakota,Brookings
2022-03-01,8,Pigs,Tennessee,Mc
2022-10-04,7,Horses,Texas,Beaumont
2022-09-23,15,Horses,Texas,Houston
2022-01-20,3,Dogs,Texas,Newton County
2022-12-12,40,Cows,Vermont,Grand Isle
2022-07-11,4,Chickens,Vermont,Sheldon
2022-05-02,2,Horses,Vermont,East Montpelier
2022-02-02,101,Cows,Vermont,Stowe
2022-02-01,20,"Multiple species: horses, cows, lambs and chickens",Vermont,Alburgh
2022-09-09,9,Horses,Virginia,Hanover
2022-05-08,527,"Multiple species: 500 chicks, 20 ducks, 4 dogs and 3 pigs",Virginia,Gainesville
2022-01-16,4,Horses,Virginia,Fredericksburg
2022-05-18,2,Goats,Washington,Oak Harbor
2022-04-28,5,"Multiple species: sheep, chicken, turkeys and ducks",Washington,Seabeck
2022-03-10,5,Goats,Washington,Carlton
2022-12-21,6,"Multiple species: a number of chickens, guinea pigs and rabbits",Wisconsin,Rhine
2022-11-24,10,Calves,Wisconsin,Scott
2022-11-22,24,Cows,Wisconsin,Port Washington
2022-10-13,60,Pigs,Wisconsin,Angelica
2022-08-08,30,Goats,Wisconsin,Cleveland
2022-05-13,5,Multiple species: 4 goats and 1 cat,Wisconsin,Alto
2022-05-10,3,Cows,Wisconsin,Lincoln
2022-05-10,4,Cows,Wisconsin,Eden
2022-04-30,6,Horses,Wisconsin,Levis
2022-04-17,2,Animals (species not specified),Wisconsin,Chetek
2022-03-23,"5,300",Chickens,Wisconsin,Pardeeville
2022-03-20,100,Cows,Wisconsin,Lincoln
2022-02-15,34,"Multiple species: chickens, guinea pigs, ducks, 1 pig, 1 dog",Wisconsin,Sparta
2022-02-14,2,Calves,Wisconsin,Springfield
2022-02-01,8,Multiple species: 2 goats and 6 ducks,Wisconsin,Fond du Lac
2022-01-26,13,"Multiple species: 1 horse, 4 cats, 4 ducks and 4 chickens",Wisconsin,Addison
2022-01-25,15,Chickens,Wisconsin,Polk
2022-01-04,48,Cows,Wisconsin,Millwood Township
2022-02-01,4,Chickens,Wyoming,South Park
date,deaths,species,state,city
2023-02-26,11,Goats,California,Modesto
2023-02-21,3,Turkeys,California,Goleta
2023-01-17,2,Horses,California,Santa Clarita
2023-02-04,60,Animals (species unspecified),Connecticut,Prospect
2023-01-28,"100,000",Chickens,Connecticut,Bozrah
2023-01-23,104,"Multiple species: Chickens, cats and rabbits",Illinois,Rockford
2023-01-18,5,Goats,Illinois,Shiloh
2023-03-09,500,Chickens,Indiana,Versailles
2023-02-21,3,Chickens,Indiana,Butler
2023-02-07,13,Pigs,Indiana,Milford
2023-02-27,8,Multiple species: 5 horses and some chickens,Iowa,Linn County
2023-01-20,15,Multiple species: 11 goats and several cats,Iowa,Burlington
2023-01-15,5,Pigs,Iowa,Rock Valley
2023-02-15,6,"Multiple species: 2 dogs, 2 goats, and 2 horses",Kentucky,Bourbon County
2023-01-12,20,Goats,Maryland,Oakland
2023-01-29,3,Sheep,Massachusetts,Rowe
2023-03-15,8,"Multiple species: chickens, rabbits and a goat",Michigan,Sheridan
2023-02-08,3,Goats,Michigan,Coopersville
2023-04-08,4,Multiple species: 2 rabbits and 2 goats,Minnesota,Skelton Township
2023-02-04,26,Goats,Minnesota,Wadena County
2023-01-24,"10,000",Chickens,Missouri,Pleasant Hope
2023-03-29,20,Sheep,North Dakota,Richland County
2023-03-25,250,Multiple species: 200 chickens and 50 pigs,New York,Delanson
2023-03-15,6,Multiple species: 4 pigs and 2 calves,New York,Pamelia
2023-02-09,12,Multiple species: 10 cows and 2 horses,New York,Canton
2023-03-09,3,Chickens,Ohio,Guilford Township
2023-02-23,3,Goats,Ohio,Kenton
2023-02-22,4,Multiple species: 3 horses and 1 dog,Oklahoma,Guymon
2023-03-14,4,Animals (species unspecified),Pennsylvania,Greencastle
2023-02-27,9,"Multiple species: 5 cats, 2 goats, and chickens",Pennsylvania,Moore Township
2023-02-20,18,"Multiple species: 15 chickens, 2 sheep and a goat",Pennsylvania,Franklin Township
2023-02-15,31,"Multiple species: goats, chickens, lambs, cattle, pigs, rabbits",Pennsylvania,Richmond Township
2023-01-21,11,"Multiple species: 2 calves, 2 pigs, 4 goats, and 3 rabbits",Pennsylvania,Newburg
2023-04-10,"18,000",Cows,Texas,Dimmitt
2023-03-14,10,Goats,Vermont,Windsor
2023-03-27,"15,500",Chickens,Virginia,Pine Grove
2023-02-06,3,Multiple species: 2 dogs and 1 goat,Virginia,Winchester
2023-01-04,4,Piglets,Virginia,Altavista
2023-03-16,3,Animals (species unspecified),West Virginia,Cabell County
2023-04-11,2,Animals (species unspecified),Wisconsin,Seymour
2023-03-25,3,Animals (species unspecified),Wisconsin,Grafton
